# ASDA_CorporateDefaults_Teaching_2026.csv
#
# SIMULATED TEACHING DATASET - not real borrower data.
#
# Applied Statistical Data Analysis (FIN), FHNW School of Business
# Module 11: Binary Dependent Variables - the probit default example
#
# 2000 simulated corporate borrowers, 60 of them defaulting within the year
# (3.0%), calibrated so that the estimated probit is the one printed in the
# module:
#
#     default ~ Phi(-1.65 + 2.00*leverage - 0.10*icr)
#
# so the two worked borrowers on the slide come out exactly: leverage 20% with
# an interest coverage of 8 gives an index of -2.05 and a default probability of
# 2.0%, leverage 65% with a coverage of 1.5 gives -0.50 and 30.9%.
#
# The outcome column was constructed - not drawn - so that the maximum
# likelihood estimates land on the printed coefficients. Borrowers are
# numbered, not named, because they are not real borrowers.
#
# columns
#   borrower_id   anonymous borrower label
#   default       1 = defaulted within the year, 0 = did not
#   leverage      debt over assets, share between 0 and 1
#   icr           interest coverage ratio, EBIT over interest expense
#
borrower_id,default,leverage,icr
B0738,0,0.196,10.593
B1134,0,0.2132,6.454
B0357,0,0.193,15.533
B1532,0,0.1438,20.412
B1627,0,0.4142,11.746
B1536,0,0.2574,11.327
B1672,0,0.3246,15.516
B0078,0,0.2164,7.778
B0345,0,0.2802,7.567
B0401,0,0.3899,13.864
B0732,0,0.2482,8.849
B1785,0,0.3335,9.546
B0186,0,0.3093,15.644
B0574,0,0.2201,15.51
B1184,0,0.4307,10.012
B0407,0,0.4627,8.389
B1563,0,0.4157,15.792
B1258,0,0.3234,14.846
B0295,0,0.3912,8.965
B1576,0,0.4524,24.29
B1317,0,0.3065,10.233
B0601,0,0.1538,5.892
B1718,0,0.4077,9.094
B1254,0,0.3627,9.933
B1815,0,0.3868,14.547
B0300,0,0.3015,9.759
B0790,0,0.4958,6.533
B1037,0,0.6016,11.95
B1825,0,0.2199,10.742
B0424,0,0.2385,8.289
B0832,0,0.232,8.081
B0011,0,0.385,28.391
B0085,0,0.1009,12.75
B0479,0,0.2578,10.063
B0885,1,0.4447,9.145
B1092,0,0.4178,6.374
B1592,0,0.2308,11.118
B1516,0,0.0459,3.029
B0157,0,0.2502,20.738
B0411,0,0.3019,7.77
B1577,0,0.2921,7.392
B1811,0,0.2047,11.497
B0759,0,0.3675,8.744
B0892,0,0.6544,17.035
B1661,0,0.0983,15.326
B1009,0,0.1715,13.846
B1361,0,0.2977,6.472
B1836,0,0.3245,10.229
B0245,0,0.1908,15.698
B0466,0,0.1846,5.318
B0069,0,0.4804,7.153
B1835,0,0.1446,12.804
B0363,0,0.2166,8.091
B1231,0,0.2104,5.857
B0620,0,0.38,6.845
B0060,0,0.2655,5.588
B0580,0,0.2999,6.834
B1546,0,0.3198,11.709
B1793,0,0.3433,15.225
B1093,0,0.1969,22.09
B0080,0,0.2708,16.788
B1214,0,0.2444,3.07
B1276,0,0.4983,19.315
B0970,0,0.2745,21.549
B1441,0,0.054,5.3
B0434,0,0.1514,15.284
B0673,0,0.2212,3.943
B0573,1,0.2189,4.743
B0323,0,0.0638,13.597
B1320,0,0.4902,13.447
B0853,0,0.158,25.566
B0420,0,0.2853,10.383
B0841,0,0.4269,17.747
B0461,0,0.4519,14.736
B1053,0,0.1534,9.539
B1063,0,0.3537,13.623
B0283,0,0.5061,7.737
B0089,1,0.4061,13.049
B1582,0,0.2095,4.589
B0129,0,0.2302,11.065
B1891,0,0.2442,10.043
B1038,0,0.4465,16.875
B0840,0,0.1817,9.208
B0772,0,0.3378,8.011
B0931,0,0.334,10.214
B1144,0,0.2257,11.079
B0548,0,0.3784,11.206
B1486,0,0.0955,11.345
B1395,0,0.2346,10.739
B1762,0,0.4265,14.534
B0583,0,0.1938,26.894
B0139,0,0.2248,15.208
B1939,0,0.0383,12.275
B1290,0,0.3587,6.243
B1195,0,0.4561,11.018
B1810,0,0.3617,8.817
B1933,0,0.4709,4.863
B0742,0,0.3667,16.99
B1114,0,0.2295,9.376
B1809,0,0.1959,5.671
B1206,0,0.2881,8.224
B1632,0,0.09,14.955
B0787,0,0.3169,17.863
B0389,0,0.3863,13.678
B0897,0,0.3693,8.5
B1953,0,0.3353,12.379
B1191,0,0.3656,8.746
B0520,0,0.4345,14.305
B1713,0,0.2484,7.0
B1975,0,0.0758,12.165
B0507,0,0.4107,22.891
B1281,0,0.2639,8.411
B1245,0,0.2103,12.1
B1557,0,0.5175,7.976
B0074,0,0.02,9.77
B0213,0,0.0845,9.042
B0017,0,0.482,8.849
B0545,1,0.3027,3.765
B1061,0,0.1813,5.999
B1468,0,0.4088,11.805
B1855,0,0.1271,17.96
B1594,0,0.2652,14.763
B1293,0,0.2583,7.825
B0961,0,0.3921,6.767
B1640,0,0.2803,11.73
B0925,0,0.2946,5.162
B1786,0,0.3467,7.932
B1252,0,0.1621,17.174
B1994,0,0.1784,4.633
B0781,0,0.3429,27.398
B0301,0,0.303,9.781
B0081,0,0.2845,8.088
B0135,0,0.132,7.055
B1160,0,0.3925,7.231
B0230,0,0.0276,6.665
B1419,0,0.1744,11.339
B0848,0,0.1216,19.299
B1621,0,0.1451,8.212
B0063,0,0.5489,7.39
B1069,0,0.3857,13.813
B1301,0,0.3139,26.436
B1969,0,0.0601,20.956
B1109,0,0.1222,18.612
B1058,0,0.3211,7.146
B1257,0,0.2502,21.53
B0546,0,0.6519,8.986
B1894,0,0.3421,7.086
B0827,0,0.0357,14.187
B0004,0,0.345,3.708
B1136,0,0.02,7.896
B0409,0,0.02,9.917
B1637,0,0.3636,5.69
B0964,0,0.1411,13.12
B1192,0,0.3194,14.112
B0654,0,0.2334,7.555
B0332,0,0.3735,6.239
B0406,0,0.1396,11.692
B0613,0,0.5062,30.0
B1226,0,0.2883,3.416
B0627,0,0.0685,9.332
B0590,0,0.3145,25.545
B1041,0,0.4247,8.936
B1986,0,0.5667,11.651
B1491,0,0.3339,13.952
B1381,0,0.1919,18.519
B1026,0,0.427,22.557
B0058,0,0.2106,7.271
B0804,0,0.3462,22.737
B0899,0,0.5642,8.149
B1012,0,0.4125,6.055
B1217,0,0.4811,5.876
B0960,0,0.1838,17.128
B0471,0,0.1319,11.362
B0508,0,0.4017,5.202
B1411,0,0.2748,10.991
B1867,0,0.2942,6.752
B1995,0,0.1928,8.701
B1045,0,0.4425,4.028
B0905,0,0.2933,12.547
B1851,0,0.2822,15.865
B1564,0,0.3117,7.287
B1686,0,0.2887,9.226
B1912,0,0.3601,7.778
B1096,0,0.26,14.55
B1108,0,0.4321,9.095
B0530,0,0.1915,19.988
B1685,0,0.4578,2.855
B1731,0,0.3859,17.142
B1472,0,0.3848,15.057
B1408,0,0.4534,10.522
B1397,0,0.0703,24.974
B1768,0,0.3561,13.304
B0869,0,0.4624,1.751
B0594,0,0.1797,3.038
B1872,0,0.2674,6.35
B1829,0,0.1791,9.152
B0144,0,0.1416,5.862
B0114,0,0.4074,8.658
B0786,0,0.079,15.88
B0029,0,0.388,15.589
B0459,0,0.3261,6.818
B0741,0,0.1351,16.206
B0351,0,0.2033,4.686
B1571,0,0.2803,8.837
B0030,0,0.0855,8.19
B0364,0,0.2671,22.285
B0504,0,0.3889,18.078
B0544,0,0.2372,4.376
B0648,0,0.4787,14.249
B0877,0,0.5364,4.048
B0161,0,0.2571,10.761
B1457,0,0.2065,9.867
B0773,0,0.4129,10.577
B1442,0,0.4313,10.997
B0497,0,0.2442,11.532
B0952,0,0.2734,9.251
B0818,0,0.2819,19.108
B0310,0,0.1659,15.212
B0803,0,0.1599,4.663
B1766,0,0.2846,12.408
B1203,0,0.36,12.62
B0760,0,0.2146,13.79
B1138,0,0.3872,12.722
B0055,0,0.4095,8.747
B1814,0,0.0578,4.462
B1827,0,0.2017,10.389
B0913,0,0.3061,9.418
B1352,0,0.0667,7.484
B1892,0,0.4845,8.175
B0111,0,0.4147,6.315
B0749,0,0.3924,6.329
B1043,0,0.3702,17.428
B1444,0,0.3999,18.001
B0588,0,0.3711,12.144
B1330,0,0.222,6.98
B0744,0,0.2803,8.484
B1647,0,0.1725,7.784
B0871,0,0.043,7.713
B1016,0,0.4932,9.999
B1170,0,0.4191,10.319
B0798,0,0.2376,5.839
B1952,0,0.1878,1.855
B0593,0,0.4719,4.574
B1377,0,0.259,4.676
B1489,0,0.2301,14.739
B1759,0,0.1588,7.647
B0999,0,0.3582,3.97
B1072,0,0.6407,8.178
B1505,0,0.3679,15.299
B1511,0,0.3373,12.69
B1233,0,0.342,8.629
B1905,0,0.3437,30.0
B0768,0,0.392,23.727
B0021,0,0.3238,12.744
B0535,0,0.2928,12.549
B0838,1,0.4194,13.196
B1154,0,0.3572,6.266
B1267,0,0.395,11.819
B0612,0,0.3019,10.498
B0342,0,0.3781,12.957
B0481,0,0.3105,21.529
B1055,0,0.1489,5.763
B1769,0,0.1643,4.819
B0908,0,0.396,8.453
B1256,0,0.4475,12.45
B1566,1,0.2078,4.806
B0788,0,0.3464,8.955
B1413,0,0.2954,10.036
B1006,0,0.2919,17.286
B0668,0,0.0348,5.45
B1542,0,0.02,9.463
B1210,0,0.2263,9.462
B1664,0,0.1996,4.673
B1968,0,0.1745,8.956
B1665,0,0.3988,4.221
B0958,0,0.3251,14.141
B1898,0,0.1404,12.787
B1615,0,0.3427,9.454
B0189,0,0.316,18.948
B1879,0,0.1918,9.659
B0635,0,0.3331,4.345
B1476,0,0.2411,8.992
B1805,0,0.1707,26.757
B1095,0,0.4557,11.646
B0260,0,0.3267,7.141
B1510,0,0.3601,12.261
B1874,0,0.3516,17.067
B1259,0,0.5194,10.109
B1289,0,0.4068,10.093
B1776,0,0.4799,15.496
B0450,0,0.4308,9.417
B0181,0,0.2788,8.443
B0155,0,0.359,9.694
B1417,0,0.2201,7.642
B1242,0,0.4304,12.73
B1533,0,0.5027,5.137
B1638,0,0.2573,6.465
B1907,0,0.3834,9.295
B0652,0,0.3692,7.913
B1747,0,0.4428,11.558
B1946,0,0.5462,7.915
B1202,0,0.2866,8.066
B1075,0,0.4611,16.07
B0710,0,0.3774,6.778
B0164,0,0.476,5.958
B0088,0,0.2394,11.649
B1404,0,0.4961,10.166
B0498,0,0.4794,9.079
B1669,0,0.3907,7.865
B1964,0,0.2985,19.637
B1501,0,0.2146,20.072
B0501,1,0.4651,8.484
B0284,0,0.1526,2.122
B0091,0,0.4063,16.753
B1068,0,0.1639,29.885
B0098,0,0.0349,8.227
B0694,0,0.4964,6.61
B0375,0,0.1822,16.41
B1880,0,0.4161,28.918
B1180,0,0.2917,10.677
B0951,0,0.3846,17.359
B1988,0,0.4316,5.66
B1730,0,0.2753,8.749
B1816,0,0.1811,8.436
B1159,0,0.0621,7.695
B1409,0,0.3618,6.625
B1261,0,0.274,6.301
B1163,0,0.2243,5.282
B1626,0,0.2326,13.734
B0816,0,0.2999,9.759
B0211,0,0.1037,15.58
B0334,0,0.2978,9.006
B1534,0,0.0708,5.324
B0486,0,0.457,11.827
B0988,0,0.4592,6.936
B0774,0,0.4543,8.191
B1157,0,0.2889,11.642
B0814,0,0.2255,18.506
B1767,0,0.2876,6.959
B1033,0,0.3817,27.826
B1207,0,0.2676,24.895
B1745,0,0.5175,20.609
B1344,0,0.2721,15.463
B1976,0,0.2744,8.191
B0859,0,0.2861,14.629
B0016,0,0.2684,23.875
B1977,0,0.02,15.508
B1029,0,0.2634,3.711
B0433,0,0.3,12.15
B1862,1,0.3706,4.708
B0131,0,0.5172,3.84
B0338,0,0.3218,16.257
B0296,0,0.4151,8.004
B0881,0,0.3067,5.603
B1822,0,0.0634,8.229
B0884,0,0.4532,19.812
B0339,0,0.3211,6.312
B0243,0,0.3908,15.649
B0962,0,0.1937,16.229
B1847,0,0.2584,10.63
B0674,0,0.1981,7.614
B1616,0,0.4302,13.336
B0244,0,0.3006,4.807
B1901,0,0.2396,7.315
B1084,0,0.1682,12.201
B1421,0,0.2742,24.882
B0689,0,0.4046,7.906
B0629,0,0.2529,9.22
B0708,0,0.2981,5.61
