# ASDA_DividendPayers_Teaching_2026.csv
#
# SIMULATED TEACHING DATASET - not real company data.
#
# Applied Statistical Data Analysis (FIN), FHNW School of Business
# Module 11: Binary Dependent Variables
#
# 500 simulated US-style listed firms, built so that the estimated logit is the
# one printed in the module:
#
#     payer ~ Lambda(-8.56 + 0.09*roa + 0.85*ln(mcap) - 2.07*leverage)
#
# with 62% payers, a log-likelihood of -239.0 against -332.0 for the
# constant-only model (McFadden 0.28), and a confusion matrix of 265 / 45 / 65 /
# 125 - 85% of the payers and 66% of the non-payers classified correctly, 78%
# overall against the naive 62% benchmark.
#
# Why a fixed file rather than a random draw: the lecture, the exercises and the
# solutions all quote the same estimates, so the sample behind them has to be
# fixed. The payer column was CONSTRUCTED, not drawn, so that the maximum
# likelihood estimates land on the printed coefficients. Firms are numbered, not
# named, because they are not real firms.
#
# columns
#   firm_id       anonymous firm label
#   payer         1 = pays a dividend, 0 = does not
#   roa_pct       return on assets, percent
#   mcap_usd_m    market capitalisation, USD millions
#   leverage      debt over assets, share between 0 and 1
#
firm_id,payer,roa_pct,mcap_usd_m,leverage
US221,1,-5.873,229540.6,0.1801
US488,1,6.97,14132.6,0.4733
US373,1,3.533,1148282.2,0.5846
US374,1,6.51,436497.5,0.1603
US125,1,20.42,136172.1,0.1757
US285,1,17.19,112700.6,0.6044
US076,1,7.664,76589.9,0.3014
US029,0,0.63,8866.9,0.1962
US127,1,13.808,534093.2,0.3316
US342,1,14.629,102035.3,0.3836
US247,0,5.977,17309.9,0.068
US467,0,14.813,1878.3,0.5081
US334,1,0.91,65095.8,0.2985
US222,1,10.374,104972.0,0.4744
US269,1,21.998,13876.7,0.3325
US385,1,11.418,40560.5,0.3471
US106,1,11.436,125559.0,0.1549
US395,1,0.563,95152.3,0.1096
US473,0,7.562,264337.9,0.4095
US211,1,11.933,328901.3,0.1289
US328,0,2.222,10211.2,0.2314
US288,0,-0.639,7120.1,0.2183
US134,0,7.054,28744.6,0.4237
US477,1,13.149,27344.6,0.2034
US235,1,19.061,354871.1,0.6728
US439,1,19.674,434102.8,0.271
US043,0,14.221,10302.4,0.2296
US159,1,9.864,27807.5,0.0858
US163,1,-4.016,30445.6,0.4063
US087,1,27.313,44861.7,0.3765
US281,0,8.769,1297.7,0.3106
US224,1,10.519,181036.5,0.4782
US147,0,6.701,8850.1,0.2884
US245,1,10.337,159751.7,0.4908
US287,1,16.007,1093534.7,0.1522
US229,0,1.036,15527.4,0.3397
US376,1,4.01,88609.0,0.4483
US013,0,9.161,17732.3,0.1926
US215,1,4.227,131021.4,0.3017
US189,1,15.156,604691.1,0.3311
US217,1,13.955,75963.9,0.2876
US201,1,24.829,427549.5,0.2503
US112,0,19.523,10052.6,0.1286
US052,1,14.821,58677.7,0.1641
US241,1,21.662,17260.2,0.1846
US078,1,25.596,50730.1,0.1878
US422,1,17.649,173489.0,0.2168
US393,0,6.184,19871.9,0.1315
US113,1,7.67,10675.9,0.1876
US183,0,11.463,15969.7,0.1019
US171,0,9.275,10878.7,0.4122
US291,0,13.045,2980.8,0.388
US021,1,2.573,320192.7,0.1137
US088,1,-1.811,2205132.4,0.1015
US121,1,3.572,164535.1,0.7271
US017,1,5.708,198159.5,0.1249
US226,1,21.569,31683.3,0.0829
US498,0,2.744,23599.6,0.6183
US272,1,6.905,107390.5,0.2383
US084,1,7.925,27077.6,0.2476
US320,0,17.974,402597.3,0.4118
US170,0,7.203,49642.6,0.6288
US120,1,14.818,256061.6,0.5117
US154,1,7.706,44837.9,0.4816
US047,1,14.012,68418.3,0.1451
US355,0,13.211,633481.9,0.055
US166,0,0.666,7524.5,0.1319
US459,1,13.963,250399.5,0.2686
US322,1,14.395,289480.5,0.3521
US152,0,-4.136,5409.6,0.4656
US181,0,4.386,9198.4,0.3442
US341,0,4.5,13932.5,0.3826
US380,1,14.216,57535.8,0.2113
US278,1,13.238,232974.5,0.1428
US280,0,12.02,40490.8,0.1249
US427,1,11.924,205470.8,0.5224
US033,0,3.324,224735.0,0.3085
US109,0,3.739,5502.2,0.3167
US165,1,13.136,614291.6,0.2151
US265,0,1.107,12088.9,0.4405
US174,0,15.107,5792.8,0.3617
US199,0,7.599,16821.7,0.4671
US443,1,18.721,356880.3,0.5199
US197,0,-4.485,6228.7,0.5027
US434,1,1.692,339568.5,0.4143
US353,0,-2.323,59280.3,0.4352
US205,1,14.086,3511.5,0.0497
US135,1,14.412,1188856.5,0.5459
US356,1,3.02,42060.0,0.2289
US230,1,7.658,48059.5,0.1463
US480,0,9.504,145353.9,0.4948
US066,1,-0.631,3200000.0,0.2495
US216,1,20.394,9207.9,0.5391
US305,1,-1.839,648591.1,0.1645
US327,1,4.759,418004.3,0.1436
US452,1,6.373,8399.2,0.2118
US218,0,3.239,923.1,0.1341
US294,1,27.934,8027.1,0.1913
US369,0,-6.518,10770.5,0.5557
US073,1,8.71,119435.2,0.4169
US313,1,12.427,22472.1,0.1038
US207,1,16.223,61362.7,0.681
US095,1,0.762,130895.2,0.1543
US157,0,16.235,88224.1,0.2094
US314,0,5.494,12901.1,0.1752
US019,0,13.64,5807.7,0.4547
US081,0,-2.474,1052.9,0.3182
US406,1,17.816,20864.6,0.4343
US239,0,-0.415,12921.8,0.0894
US420,0,-7.594,23032.3,0.3568
US219,1,21.505,534431.9,0.1525
US449,1,10.086,418939.0,0.2628
US104,1,4.608,101246.8,0.212
US193,1,-1.56,47706.5,0.3139
US447,1,10.262,380684.1,0.2667
US008,1,8.677,1696439.8,0.2237
US012,0,8.443,5327.6,0.2159
US295,0,21.165,3625.6,0.3676
US407,1,9.08,14162.4,0.1482
US438,1,1.022,214060.8,0.1389
US059,0,14.252,101922.9,0.2915
US465,1,-1.539,3200000.0,0.2036
US323,1,7.606,24527.3,0.4387
US325,1,6.711,11010.0,0.5507
US399,0,12.148,2211.9,0.2966
US344,1,13.015,47815.4,0.2733
US397,1,6.282,68544.2,0.1739
US329,1,16.667,337058.6,0.2358
US172,0,-1.927,82838.2,0.1014
US423,0,4.666,8259.9,0.2628
US365,1,6.82,90552.3,0.1735
US302,0,18.217,1238.9,0.4902
US130,0,8.046,3850.6,0.1602
US231,1,-8.013,37757.4,0.0961
US168,0,0.009,32566.4,0.2161
US289,0,11.689,6087.9,0.1973
US108,0,-11.476,83686.6,0.2846
US086,1,15.983,26905.6,0.1276
US388,1,4.753,364464.3,0.3712
US034,1,20.187,194866.2,0.205
US261,1,9.84,379851.9,0.3813
US268,1,1.423,1137296.7,0.0323
US400,1,9.698,1592937.6,0.284
US310,0,0.091,18925.6,0.5862
US377,0,1.548,27376.5,0.3954
US311,1,8.517,834977.4,0.4683
US350,1,18.58,234862.5,0.2571
US442,0,0.806,12081.7,0.2902
US297,1,17.021,645326.2,0.4188
US381,1,4.521,6649.4,0.2373
US223,1,-12.368,396741.2,0.2123
US471,1,10.869,75430.1,0.159
US143,1,15.073,12279.8,0.4085
US050,1,5.034,12228.0,0.476
US451,1,6.472,356699.9,0.2843
US103,1,11.894,8376.0,0.4055
US390,1,15.646,240531.4,0.3902
US025,1,5.004,45211.6,0.2073
US252,1,-2.661,2234.6,0.1492
US258,1,6.081,16825.1,0.378
US234,0,8.791,5846.8,0.3098
US254,0,6.385,111244.9,0.2579
US405,1,-3.384,64965.6,0.4594
US497,1,-0.604,18125.9,0.338
US191,0,17.47,13122.3,0.1864
US282,1,9.643,73526.6,0.3657
US105,1,8.907,26044.5,0.2498
US138,0,1.418,37945.4,0.5797
US085,1,11.124,288292.6,0.3204
US432,1,-1.351,96339.0,0.6386
US403,1,18.581,1073629.3,0.1854
US132,1,9.587,42548.7,0.447
US300,0,-1.714,1008.5,0.0775
US340,1,17.327,38489.0,0.1558
US384,1,14.835,646111.7,0.1281
US101,0,0.905,9735.1,0.4212
US023,1,13.13,127473.5,0.4528
US404,1,11.749,614084.3,0.4103
US151,1,9.878,363329.8,0.5349
US375,0,16.851,19952.8,0.2098
US492,1,16.093,360628.5,0.2051
US122,0,2.869,354286.9,0.3712
US358,0,0.599,3661.7,0.2588
US209,0,5.191,56243.7,0.1619
US276,0,-10.155,2800653.3,0.134
US044,0,6.184,45835.4,0.1618
US371,0,3.239,28348.0,0.5236
US064,0,10.894,49707.6,0.2262
US482,1,6.015,781611.7,0.2624
US024,1,13.9,82997.5,0.0985
US263,1,9.231,352923.7,0.0914
US349,1,10.667,155096.3,0.0721
US315,1,9.065,155626.4,0.2749
US040,1,3.586,106961.7,0.2916
US131,1,-3.179,75896.6,0.1543
US444,1,11.619,127960.8,0.0364
US479,1,18.763,8790.8,0.3909
US343,0,12.433,65122.0,0.6043
US035,1,5.086,984918.9,0.0912
US107,1,12.374,195014.6,0.4008
US212,1,0.109,48603.4,0.6356
US458,0,11.243,59681.6,0.4601
US054,1,21.773,430708.5,0.1216
US299,0,4.018,56472.8,0.3988
US177,1,-2.168,58976.4,0.3149
US072,1,6.671,8767.5,0.6025
US362,0,10.065,10593.2,0.3317
US412,1,3.67,60827.2,0.1256
US097,0,7.908,12608.5,0.2292
US195,1,12.832,12353.6,0.2031
US178,1,14.979,38347.6,0.1001
US022,1,16.794,78560.1,0.1231
US363,1,9.66,22337.1,0.147
US027,1,8.307,77772.4,0.1722
US233,0,-6.486,141391.1,0.7368
US028,1,7.447,64652.6,0.5922
US402,0,-6.473,31103.3,0.0767
US386,1,18.633,344944.3,0.5445
US277,0,-0.103,76782.4,0.466
US014,0,3.484,1310.9,0.535
US190,1,30.401,91994.3,0.189
US238,0,3.253,3530.6,0.6457
US156,0,-4.04,103229.1,0.5322
US184,0,4.965,2957.1,0.4085
US002,1,10.352,87981.4,0.5006
US496,1,25.85,1119260.9,0.381
US267,0,-1.038,44421.5,0.3593
US460,0,19.452,5567.7,0.5166
US051,1,22.087,655149.1,0.1603
US146,1,11.544,1015728.8,0.5539
US119,1,18.509,90812.7,0.2687
US284,1,9.965,26166.7,0.187
US330,1,1.385,3200000.0,0.3578
US228,0,-2.318,201047.9,0.6993
US274,1,14.756,329850.3,0.1762
US491,1,4.418,128190.0,0.5578
US474,1,16.52,29532.2,0.1745
US142,1,0.619,25401.6,0.5435
US065,1,2.395,579485.3,0.4559
US437,0,12.292,18404.7,0.3427
US429,1,3.605,308953.2,0.4786
US419,1,16.24,113424.9,0.2081
US225,1,11.295,89979.9,0.1275
US182,1,5.521,78600.7,0.4201
US461,0,5.703,94099.6,0.5041
US210,0,7.198,6546.8,0.2351
US259,0,1.178,393526.4,0.2534
US053,1,10.237,122207.0,0.0494
US046,0,2.628,12076.2,0.3111
US246,1,14.035,9607.2,0.2368
US426,0,12.378,4213.7,0.5661
US063,1,4.629,135953.9,0.137
US007,0,6.678,62208.2,0.4347
US361,1,3.612,6032.2,0.3589
US213,0,13.883,3159.8,0.5422
US468,1,17.987,11189.2,0.1361
US092,1,2.207,331296.7,0.1259
US089,0,11.778,76499.3,0.1259
US061,1,14.879,3638.7,0.0496
US414,1,8.893,46342.5,0.2293
US220,1,6.514,168978.8,0.2245
US495,1,22.608,63828.7,0.3797
