# ASDA_FundSizeAlpha_Teaching_2026.csv
#
# SIMULATED TEACHING DATASET - not real fund data.
#
# Applied Statistical Data Analysis (FIN), FHNW School of Business
# Module 10: Logs, Elasticities and Quadratic Terms - worked example on quadratics
#
# Fund-level alpha is proprietary, so this file is a simulated sample of 120
# equity funds, calibrated to magnitudes from the fund-performance literature:
#
#     alpha = -0.20 + 2.40 * size - 1.50 * size^2 + u,      n = 120
#
# size in bn CHF (0.05 to 2.2), alpha in percent per year. Funds are numbered,
# not named, because they are not real funds.
#
# Why a fixed file rather than a random draw: the lecture, the exercises and the
# solutions all quote the same estimates, so the sample behind them has to be
# fixed. Loading this file reproduces the slide exactly - the fitted quadratic
# -0.20 + 2.40 size - 1.50 size^2, t = 3.2 and t = -3.8 on the two size terms,
# the turning point at 0.8 bn, and marginal effects of +1.8 at 0.2 bn and
# -2.1 at 1.5 bn.
#
# columns
#   fund_id         anonymous fund label
#   size_bn_chf     fund size, bn CHF
#   alpha_pct_pa    alpha, percent per year
#
fund_id,size_bn_chf,alpha_pct_pa
F059,0.9707,0.0514
F111,2.0095,-2.6991
F020,0.2967,0.4836
F029,0.4399,-0.0141
F117,2.1362,-2.5042
F069,1.1608,-2.3539
F062,1.0272,1.4764
F003,0.0673,-0.3039
F065,1.0842,-0.4489
F097,1.7187,-0.9401
F046,0.7325,1.5867
F081,1.3957,-3.1763
F090,1.5761,1.4716
F091,1.5963,2.8022
F057,0.9334,2.4372
F038,0.5917,0.1001
F033,0.5064,1.3725
F036,0.5573,1.1158
F021,0.3121,0.013
F103,1.8424,-0.7042
F112,2.0305,-3.5945
F119,2.1787,1.0545
F002,0.0576,-0.5434
F055,0.8963,0.2308
F077,1.3166,2.5724
F050,0.8046,1.5183
F114,2.0727,-2.0125
F017,0.2514,0.1574
F075,1.2774,0.4906
F024,0.3591,0.5802
F011,0.1657,0.047
F089,1.5559,0.7691
F058,0.952,1.3106
F005,0.0892,-0.2665
F037,0.5745,0.71
F049,0.7865,0.737
F115,2.0938,-3.5342
F086,1.4955,0.3651
F084,1.4554,0.6727
F013,0.1935,0.3058
F015,0.2221,-0.0806
F025,0.375,0.8149
F027,0.4072,0.9868
F054,0.8778,1.6583
F066,1.1032,1.1517
F108,1.9466,-0.4638
F068,1.1416,-0.0696
F047,0.7504,1.3124
F098,1.7392,-0.0549
F052,0.8411,0.4131
F045,0.7146,1.1415
F008,0.1259,0.2583
F078,1.3363,-2.0667
F041,0.6439,2.4821
F076,1.297,1.2482
F023,0.3433,0.5801
F018,0.2664,0.903
F043,0.6791,-0.0944
F007,0.1133,-0.3454
F074,1.2579,1.7595
F071,1.1995,-1.7346
F051,0.8228,-0.7648
F113,2.0516,0.3397
F118,2.1574,-1.8831
F030,0.4564,-0.4212
F107,1.9257,1.4292
F079,1.3561,0.9988
F085,1.4754,0.8392
F001,0.05,-0.7377
F100,1.7804,-2.3623
F105,1.884,-4.2422
F040,0.6264,2.3054
F109,1.9675,0.7448
F009,0.1389,-0.3428
F080,1.3758,-0.2716
F110,1.9885,-1.0012
F092,1.6166,0.5015
F087,1.5156,-1.3595
F048,0.7684,1.3565
F101,1.801,-2.302
F063,1.0461,-0.2149
F120,2.2,1.8133
F106,1.9048,-1.2028
F028,0.4235,0.2579
F064,1.0651,0.3684
F093,1.6369,0.0372
F010,0.1522,0.1403
F004,0.0779,-0.3021
F083,1.4355,0.2557
F056,0.9148,0.6843
F060,0.9895,0.9735
F102,1.8217,-2.1628
F104,1.8632,0.0219
F014,0.2077,-0.2392
F116,2.115,-4.2152
F031,0.473,0.6772
F082,1.4155,0.0418
F019,0.2815,0.3893
F032,0.4896,1.3385
F035,0.5403,-1.1123
F006,0.1011,0.169
F073,1.2384,1.1321
F072,1.2189,-2.0605
F034,0.5233,1.5205
F095,1.6777,-2.019
F016,0.2367,0.586
F094,1.6573,-3.048
F039,0.609,1.8952
F088,1.5357,0.2241
F053,0.8594,1.7432
F026,0.3911,1.0372
F070,1.1801,2.1793
F044,0.6968,2.6154
F067,1.1224,0.986
F096,1.6982,-1.8552
F099,1.7598,-0.9813
F061,1.0083,1.8355
F022,0.3277,0.4798
F042,0.6615,0.472
F012,0.1795,-1.0356
