# ASDA course dataset: Swiss cross-section, trading volume and firm size
# Applied Statistical Data Analysis (FIN), MSc Finance, FHNW, Prof. Dr. Kristyna Ters
#
# Used by module 10 (Logarithmic Transformations and Quadratic Terms).
# Frozen snapshot so that every run reproduces the figures on the slides.
#
# n = 50 Swiss listed companies: 19 SMI constituents (D_SMI = 1) and the 31
# largest SMI MID constituents by market capitalisation (D_SMI = 0).
# Roche is not included: Yahoo Finance does not serve the Genussschein (ROG.SW),
# and the bearer line (RO.SW) carries only a fraction of the company's turnover,
# so including it would mismeasure exactly the variable under study.
#
# mcap_chf     market capitalisation in CHF, as at 17 September 2026
# turnover_chf average daily turnover in CHF (mean of close x volume) over the
#              126 trading days from 2 March 2026 to 31 August 2026
# D_SMI        1 if the company is an SMI constituent, 0 if SMI MID
#
# Source: Yahoo Finance (chart and quoteSummary endpoints), retrieved 17.09.2026.
ticker,mcap_chf,turnover_chf,D_SMI
NESN.SW,199758610432,279372174,1
NOVN.SW,217213698048,326170844,1
UBSG.SW,127858343936,216106932,1
ZURN.SW,90099539968,169534819,1
CFR.SW,100390805504,157950065,1
ABBN.SW,141749518336,191551323,1
SIKA.SW,29328295936,84460094,1
LONN.SW,37604134912,81023958,1
ALC.SW,26635339776,74890752,1
GIVN.SW,29946392576,66213730,1
HOLN.SW,37866946560,85264239,1
SLHN.SW,25771337728,55252197,1
PGHN.SW,15955660800,100058260,1
SCMN.SW,34862706688,50584136,1
SREN.SW,41082298368,118117107,1
GEBN.SW,17628856320,48025387,1
SOON.SW,13805628416,33686169,1
LOGN.SW,11790127104,59542951,1
KNIN.SW,25806563328,41636616,1
SCHP.SW,27076380672,30251801,0
LISP.SW,19677487104,31124960,0
EMSN.SW,18816473088,11916897,0
SGSN.SW,18376771584,34684897,0
VACN.SW,17566611456,48600294,0
STMN.SW,15176526848,35468352,0
BAER.SW,14959044608,32803305,0
BCVN.SW,10890427392,6861614,0
PSPN.SW,6756340736,10994082,0
BKW.SW,6517150720,9464983,0
FHZN.SW,6194848256,11583777,0
BARN.SW,6074832896,14706798,0
AVOL.SW,6031099904,19005981,0
BANB.SW,5766289408,9547955,0
SFSN.SW,5193759744,3683617,0
SIGN.SW,5043682304,14055450,0
SUN.SW,4970323968,8308210,0
TEMN.SW,4510624256,14508606,0
GF.SW,4437809152,13566277,0
DKSH.SW,4246782464,4867094,0
ADEN.SW,4107730432,22884578,0
GALE.SW,4100547072,7847714,0
CLN.SW,3430173184,8727638,0
ALLN.SW,3224057600,5952716,0
BUCN.SW,3105948928,4933617,0
CMBN.SW,2612497152,6562161,0
MOBN.SW,2545978624,4576352,0
KARN.SW,1763377920,4261438,0
OERL.SW,1756162688,2405754,0
BELL.SW,1441383552,1072804,0
IMPN.SW,1200446592,3306871,0
